type,date,epop
Bachelor's degree or greater,"January, 2006",2.1
Bachelor's degree or greater,"December, 2005",2.1
Bachelor's degree or greater,"November, 2005",2.3
Bachelor's degree or greater,"October, 2005",2.3
Bachelor's degree or greater,"September, 2005",2.3
Bachelor's degree or greater,"August, 2005",2.1
Bachelor's degree or greater,"July, 2005",2.3
Bachelor's degree or greater,"June, 2005",2.3
Bachelor's degree or greater,"May, 2005",2.4
Bachelor's degree or greater,"April, 2005",2.4
Bachelor's degree or greater,"March, 2005",2.4
Bachelor's degree or greater,"February, 2005",2.4
Bachelor's degree or greater,"January, 2005",2.4
Bachelor's degree or greater,"December, 2004",2.5
Bachelor's degree or greater,"November, 2004",2.5
Bachelor's degree or greater,"October, 2004",2.5
Bachelor's degree or greater,"September, 2004",2.6
Bachelor's degree or greater,"August, 2004",2.7
Bachelor's degree or greater,"July, 2004",2.6
Bachelor's degree or greater,"June, 2004",2.7
Bachelor's degree or greater,"May, 2004",2.9
Bachelor's degree or greater,"April, 2004",2.9
Bachelor's degree or greater,"March, 2004",2.9
Bachelor's degree or greater,"February, 2004",2.9
Bachelor's degree or greater,"January, 2004",2.9
Bachelor's degree or greater,"December, 2003",3.0
Bachelor's degree or greater,"November, 2003",3.1
Bachelor's degree or greater,"October, 2003",3.1
Bachelor's degree or greater,"September, 2003",3.2
Bachelor's degree or greater,"August, 2003",3.2
Bachelor's degree or greater,"July, 2003",3.1
Bachelor's degree or greater,"June, 2003",3.1
Bachelor's degree or greater,"May, 2003",3.0
Bachelor's degree or greater,"April, 2003",3.0
Bachelor's degree or greater,"March, 2003",3.1
Bachelor's degree or greater,"February, 2003",3.0
Bachelor's degree or greater,"January, 2003",3.0
Bachelor's degree or greater,"December, 2002",2.9
Bachelor's degree or greater,"November, 2002",2.9
Bachelor's degree or greater,"October, 2002",3.0
Bachelor's degree or greater,"September, 2002",2.9
Bachelor's degree or greater,"August, 2002",2.8
Bachelor's degree or greater,"July, 2002",3.0
Bachelor's degree or greater,"June, 2002",3.0
Bachelor's degree or greater,"May, 2002",2.9
Bachelor's degree or greater,"April, 2002",2.9
Bachelor's degree or greater,"March, 2002",2.8
Bachelor's degree or greater,"February, 2002",2.9
Bachelor's degree or greater,"January, 2002",2.9
Bachelor's degree or greater,"December, 2001",3.0
Bachelor's degree or greater,"November, 2001",2.9
Bachelor's degree or greater,"October, 2001",2.6
Bachelor's degree or greater,"September, 2001",2.5
Bachelor's degree or greater,"August, 2001",2.3
Bachelor's degree or greater,"July, 2001",2.2
Bachelor's degree or greater,"June, 2001",2.2
Bachelor's degree or greater,"May, 2001",2.1
Bachelor's degree or greater,"April, 2001",2.1
Bachelor's degree or greater,"March, 2001",2.0
Bachelor's degree or greater,"February, 2001",1.6
Bachelor's degree or greater,"January, 2001",1.6
Bachelor's degree or greater,"December, 2000",1.5
Bachelor's degree or greater,"November, 2000",1.5
Bachelor's degree or greater,"October, 2000",1.6
Bachelor's degree or greater,"September, 2000",1.9
